GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000067646	0.5767487	2.6095129
ENSG00000067715	-0.2060272	-0.2575340
ENSG00000067798	-0.2060272	-0.2575340
ENSG00000067900	-0.0776343	-0.0970429
ENSG00000067992	1.1026757	3.0807826
ENSG00000068028	-0.0776343	-0.0970429
ENSG00000068078	-1.5788459	-1.9735573
ENSG00000068323	-0.0776343	-0.0970429
ENSG00000068366	-1.3464069	-0.0887803
ENSG00000068438	-0.0776343	-0.0970429
ENSG00000068781	-0.2060272	-0.2575340
ENSG00000068784	-2.9765172	-1.8088518
ENSG00000068793	-0.0776343	-0.0970429
ENSG00000068796	-1.3045259	-0.0643625
ENSG00000068831	-1.8097728	-1.0679783
ENSG00000068976	-1.3860797	0.0000000
ENSG00000069011	-1.3860797	0.0000000
ENSG00000069020	-0.2060272	-0.2575340
ENSG00000069122	-1.7099882	-0.9741249
ENSG00000069188	-1.5273443	-1.9091803
ENSG00000069329	-0.0776343	-0.0970429
ENSG00000069345	-0.0776343	-0.0970429
ENSG00000069424	-1.2929688	-0.0288621
ENSG00000069431	-14.3253523	-16.0862322
ENSG00000069535	-5.6933256	-5.3265078
ENSG00000069812	-1.3571739	-1.6964674
ENSG00000069956	1.2788390	3.2979604
ENSG00000070159	-1.3328373	-0.0772391
ENSG00000070366	-3.3360664	-2.2184722
ENSG00000070367	0.7825013	2.4668188
ENSG00000070388	-2.7494968	-1.7013109
ENSG00000070476	-0.0776343	-0.0970429
ENSG00000070540	-1.3860797	0.0000000
ENSG00000070601	-3.9210543	-3.0797471
ENSG00000070614	-0.0776343	-0.0970429
ENSG00000070778	-0.0776343	-0.0970429
ENSG00000070808	-1.8375346	-0.8098792
ENSG00000070950	-0.0776343	-0.0970429
ENSG00000071073	-1.0803270	-1.3504088
ENSG00000071082	-0.0776343	-0.0970429
ENSG00000071127	-0.0776343	-0.0970429
ENSG00000071189	-0.0776343	-0.0970429
ENSG00000071242	-0.8896654	0.5523189
ENSG00000071537	-0.0776343	-0.0970429
ENSG00000071539	-0.0776343	-0.0970429
ENSG00000071909	-1.9627637	-0.9538490
ENSG00000071967	-0.0776343	-0.0970429
ENSG00000071994	-0.0776343	-0.0970429
ENSG00000072042	-1.3860797	0.0000000
ENSG00000072080	-3.3688093	-2.4031402
ENSG00000072121	-0.0776343	-0.0970429
ENSG00000072364	0.6816534	2.3323858
ENSG00000072401	-0.0529230	1.5039045
ENSG00000072501	0.1779339	1.7881792
ENSG00000072571	-0.3539318	1.2203090
ENSG00000072694	-2.9486341	-2.0834759
ENSG00000072736	-1.3860797	0.0000000
ENSG00000072818	-3.0562223	-2.1263589
ENSG00000072858	-0.2060272	-0.2575340
ENSG00000072952	-1.6754989	-1.0431946
ENSG00000073111	0.1518157	1.7521709
ENSG00000073146	-1.7648633	-0.9632356
ENSG00000073282	-0.6655545	-0.8319431
ENSG00000073605	-3.9175077	-3.2042695
ENSG00000073712	-0.0776343	-0.0970429
ENSG00000073737	-1.6523985	-0.9116418
ENSG00000073756	7.5579621	10.9314467
ENSG00000074054	-0.0776343	-0.0970429
ENSG00000074181	-2.4240181	-3.0300226
ENSG00000074370	-1.1804393	-1.4755492
ENSG00000074416	-3.9800697	-2.8732308
ENSG00000074527	-3.0354055	-2.1800809
ENSG00000074657	-0.2060272	-0.2575340
ENSG00000074660	-1.7973488	-0.8838967
ENSG00000074696	-0.0776343	-0.0970429
ENSG00000074706	-1.3860797	0.0000000
ENSG00000074755	-0.0776343	-0.0970429
ENSG00000074966	-3.3303360	-2.3262484
ENSG00000075142	-0.0776343	-0.0970429
ENSG00000075213	-0.2060272	-0.2575340
ENSG00000075218	1.1507919	3.1396676
ENSG00000075340	-3.1311125	-2.1904734
ENSG00000075826	-1.2078201	-1.5097751
ENSG00000075884	-4.8166093	-3.7636227
ENSG00000075975	-0.0776343	-0.0970429
ENSG00000076003	-0.0776343	-0.0970429
ENSG00000076053	-1.3860797	0.0000000
ENSG00000076067	-0.0776343	-0.0970429
ENSG00000076108	-0.0776343	-0.0970429
ENSG00000076248	-0.0776343	-0.0970429
ENSG00000076344	-1.1824503	-1.4780629
ENSG00000076356	-2.8148533	-1.7866456
