Gene ID	CI DESeq	CI NOISeq	CuffDiff	Limma	GeneSpring
ENSG00000130487	-7.142619322	NA	NA	NA	NA
ENSG00000130508	2.093572085	NA	2.43522	3.453470804	10.647764
ENSG00000130518	-3.87127472	NA	-6.61805	-5.96684267	NA
ENSG00000130528	-3.464721473	NA	NA	-4.100556748	NA
ENSG00000130545	-7.83877976	NA	NA	-5.047535417	NA
ENSG00000130559	NA	NA	NA	NA	3.1487167
ENSG00000130561	NA	NA	NA	NA	NA
ENSG00000130592	NA	-13.3109931	NA	NA	NA
ENSG00000130600	-9.816633957	-9.76252329	-8.57611	-7.891681207	NA
ENSG00000130635	-6.783702805	-6.758661546	-5.97366	-5.34448423	-11.400792
ENSG00000130638	NA	NA	-2.99224	-2.746897183	-6.7127175
ENSG00000130649	-6.396935439	NA	-5.21213	NA	NA
ENSG00000130653	-2.466048157	NA	NA	NA	NA
ENSG00000130702	NA	NA	-2.34183	-2.029909281	NA
ENSG00000130707	-4.546880604	NA	-3.95834	-3.878283295	NA
ENSG00000130720	-3.354773377	NA	NA	NA	NA
ENSG00000130748	NA	NA	3.25886	3.662990414	12.869937
ENSG00000130749	NA	NA	NA	NA	2.9695294
ENSG00000130755	-4.067266882	NA	-2.95701	-2.616350427	-6.131969
ENSG00000130762	-5.024547697	NA	-3.59712	NA	NA
ENSG00000130768	-3.758418229	NA	NA	-3.645734643	NA
ENSG00000130783	NA	NA	NA	-3.285773439	NA
ENSG00000130810	NA	NA	NA	NA	NA
ENSG00000130822	2.206313672	NA	NA	NA	NA
ENSG00000130881	NA	NA	2.47373	3.232698677	8.840174
ENSG00000130940	-4.261429849	NA	-3.77161	NA	NA
ENSG00000130948	-6.530959034	NA	NA	NA	NA
ENSG00000130985	NA	NA	NA	NA	2.6138968
ENSG00000130988	-3.544940088	NA	NA	-4.995610148	NA
ENSG00000131023	NA	NA	NA	NA	3.9073644
ENSG00000131042	NA	NA	NA	NA	NA
ENSG00000131044	-2.477918619	NA	NA	NA	NA
ENSG00000131055	NA	NA	NA	NA	NA
ENSG00000131080	-3.189765946	NA	-2.83323	NA	NA
ENSG00000131094	-2.577490671	NA	NA	NA	NA
ENSG00000131097	NA	NA	NA	-2.07256325	NA
ENSG00000131100	NA	NA	NA	NA	3.5704677
ENSG00000131127	NA	NA	NA	NA	-3.316196
ENSG00000131148	NA	NA	NA	NA	2.565624
ENSG00000131153	NA	NA	NA	NA	3.4549856
ENSG00000131171	NA	NA	-2.40812	-2.237386333	-4.7154207
ENSG00000131183	-2.620982434	NA	NA	NA	NA
ENSG00000131187	-2.597122347	NA	NA	NA	NA
ENSG00000131203	-9.852265457	NA	NA	-6.714658882	NA
ENSG00000131263	NA	NA	2.23521	2.401994409	5.2638874
ENSG00000131373	NA	NA	NA	2.039451183	4.1108904
ENSG00000131378	NA	NA	-3.31572	-2.662922973	NA
ENSG00000131386	-2.916259388	NA	NA	NA	NA
ENSG00000131398	-2.135702828	NA	NA	NA	NA
ENSG00000131400	-2.804487518	NA	NA	NA	NA
ENSG00000131401	-7.876670204	NA	-6.87182	-5.085002146	NA
ENSG00000131462	NA	NA	NA	NA	3.0450222
ENSG00000131467	NA	NA	NA	NA	3.1741343
ENSG00000131471	-5.758247796	NA	-5.19746	-4.529330707	NA
ENSG00000131473	NA	NA	NA	NA	3.2872138
ENSG00000131477	-3.088589313	NA	-2.24804	NA	NA
ENSG00000131482	-3.119393147	NA	NA	NA	NA
ENSG00000131484	NA	NA	NA	-4.83573086	NA
ENSG00000131558	NA	NA	-3.82645	-3.423615895	-10.730281
ENSG00000131620	-8.122437581	NA	NA	-4.591853236	NA
ENSG00000131634	NA	NA	2.51596	3.356619704	10.174521
ENSG00000131650	-2.037590747	NA	NA	NA	NA
ENSG00000131668	-2.053886857	NA	NA	NA	NA
ENSG00000131686	-7.996284603	NA	NA	NA	NA
ENSG00000131711	2.059124273	NA	2.12421	3.143463475	7.686721
ENSG00000131725	NA	NA	NA	2.002655009	3.7891529
ENSG00000131730	NA	NA	-2.35155	NA	NA
ENSG00000131746	-11.54003266	NA	NA	-7.917390983	NA
ENSG00000131747	2.066525241	NA	2.17546	2.392020753	5.2489204
ENSG00000131771	-5.443943423	NA	NA	-3.674563827	NA
ENSG00000131831	-4.337564671	NA	NA	NA	NA
ENSG00000131844	NA	NA	NA	NA	2.484962
ENSG00000131845	NA	NA	NA	NA	2.8062534
ENSG00000131849	NA	NA	NA	NA	2.1304407
ENSG00000131899	NA	NA	NA	NA	3.3103209
ENSG00000131914	-3.817848478	NA	NA	-4.302735676	NA
ENSG00000131931	NA	NA	NA	NA	3.1871138
ENSG00000131941	NA	NA	NA	NA	2.9057426
ENSG00000131943	NA	NA	2.05085	2.208942818	4.623363
ENSG00000131951	-2.160104064	NA	NA	NA	NA
ENSG00000131969	-3.370636695	NA	-6.1363	-5.349737007	NA
ENSG00000132000	-3.946056841	NA	-4.90718	-3.999481379	NA
ENSG00000132026	-4.736214006	NA	NA	-6.239414352	NA
ENSG00000132130	-2.972636283	NA	NA	-3.309731822	NA
ENSG00000132142	NA	NA	NA	NA	2.9778578
ENSG00000132155	NA	NA	NA	NA	2.3796732
ENSG00000132182	-5.917395864	-5.920662286	-4.7917	-4.244487869	NA
ENSG00000132196	NA	NA	2.34093	2.555970225	5.9890547
ENSG00000132204	NA	NA	NA	NA	NA
ENSG00000132274	-4.786251623	-4.813439651	-5.42864	-4.899208763	NA
ENSG00000132294	NA	NA	2.37462	2.570882573	5.941729
ENSG00000132297	-5.129049615	NA	NA	-6.635701122	NA
ENSG00000132300	NA	NA	NA	NA	2.4450297
ENSG00000132305	NA	NA	NA	NA	2.4818554
ENSG00000132313	NA	NA	NA	NA	2.922755
ENSG00000132321	-8.110608689	NA	NA	NA	NA
ENSG00000132323	NA	NA	NA	NA	2.5244994
ENSG00000132326	-2.19835452	NA	-2.34921	-2.185588751	-2.4814384
ENSG00000132329	-2.51221351	NA	-2.2017	NA	NA
ENSG00000132341	NA	NA	NA	2.01263847	4.0351954
ENSG00000132356	NA	NA	NA	NA	3.6013994
ENSG00000132361	NA	NA	NA	NA	3.4774215
ENSG00000132394	NA	NA	-2.7781	-2.401376415	-5.283069
ENSG00000132429	NA	NA	2.37243	3.004074067	8.874275
ENSG00000132436	NA	NA	NA	NA	3.57871
ENSG00000132463	NA	NA	NA	NA	2.735677
ENSG00000132464	-12.50129987	NA	NA	NA	NA
ENSG00000132465	-12.48941703	NA	NA	-7.693478861	NA
ENSG00000132466	NA	NA	NA	NA	3.643297
ENSG00000132470	-7.762743353	-7.729540686	-6.6148	-5.390352479	-25.369503
ENSG00000132517	-5.515214807	NA	NA	-6.480797726	NA
ENSG00000132518	-2.029700841	NA	NA	NA	NA
ENSG00000132530	-3.628478336	NA	-3.47921	NA	NA
ENSG00000132549	NA	NA	-4.42081	-3.141713702	NA
ENSG00000132554	-3.844776023	NA	-9.59634	-8.609054259	NA
ENSG00000132561	-5.617107208	-5.642779216	-4.79695	-4.183131091	-10.539933
ENSG00000132570	-5.393649161	-5.364898236	-2.64137	-2.439884951	NA
ENSG00000132622	-4.319580738	NA	NA	-3.008954467	NA
ENSG00000132640	NA	NA	2.1879	2.441817338	5.4885025
ENSG00000132646	NA	NA	2.60537	2.747758668	6.716728
ENSG00000132669	-3.423035964	NA	-3.61907	-3.214912053	-5.8080206
ENSG00000132671	2.806415519	NA	NA	NA	NA
ENSG00000132677	NA	NA	NA	NA	-4.264793
ENSG00000132698	-9.88609924	-9.810433355	NA	-7.37941031	NA
ENSG00000132702	-3.211407016	NA	NA	-2.967337252	NA
ENSG00000132704	-6.261945024	NA	NA	-6.986286367	NA
ENSG00000132744	-4.87730628	NA	NA	NA	NA
ENSG00000132746	-8.529923109	-8.473378329	-8.16576	-6.075939448	NA
ENSG00000132819	NA	NA	NA	NA	3.8131876
ENSG00000132821	-4.513067199	NA	-3.26934	NA	NA
ENSG00000132823	NA	NA	NA	NA	2.4036262
ENSG00000132825	NA	NA	NA	NA	3.4917438
ENSG00000132832	-3.384985832	NA	NA	NA	NA
ENSG00000132837	NA	NA	NA	-3.149738153	NA
ENSG00000132840	NA	NA	-3.14888	-2.88283312	NA
ENSG00000132842	NA	NA	-2.2807	-2.045110995	NA
ENSG00000132849	NA	NA	-3.20784	-2.606660167	-6.2948956
ENSG00000132855	2.760230706	NA	NA	NA	NA
ENSG00000132874	-2.941487981	NA	NA	-4.943764042	NA
ENSG00000132912	NA	NA	NA	NA	3.6184897
ENSG00000132915	-3.240502444	NA	NA	-7.524263125	NA
ENSG00000132932	NA	NA	-2.58782	NA	NA
ENSG00000132953	NA	NA	NA	NA	3.7324674
ENSG00000132958	-3.138278694	NA	NA	NA	NA
ENSG00000132965	-9.882400537	NA	NA	-7.254765734	NA
ENSG00000132967	NA	NA	NA	NA	NA
ENSG00000132970	2.368118485	NA	2.5017	3.344079865	7.9059834
ENSG00000132972	2.327228234	NA	NA	NA	NA
ENSG00000133026	NA	NA	NA	2.373249632	NA
ENSG00000133027	NA	NA	-2.4458	NA	NA
ENSG00000133028	NA	NA	NA	NA	2.9970992
ENSG00000133048	NA	-13.06105784	NA	NA	NA
ENSG00000133059	NA	NA	NA	NA	3.3124592
ENSG00000133063	NA	NA	NA	NA	NA
ENSG00000133065	NA	NA	NA	NA	2.8001626
ENSG00000133067	-2.311025083	NA	NA	NA	NA
ENSG00000133101	2.104532952	NA	NA	NA	2.7218225
ENSG00000133104	NA	NA	NA	2.048712804	4.1373663
ENSG00000133106	-3.436816543	NA	-3.94927	-3.060204121	NA
ENSG00000133107	-2.156452256	NA	NA	-2.790092228	NA
ENSG00000133110	NA	-16.10750785	NA	NA	-57.033886
ENSG00000133114	NA	NA	-2.24327	NA	-3.978354
ENSG00000133119	NA	NA	NA	NA	3.2996066
ENSG00000133195	NA	NA	-4.23484	-3.803549594	NA
ENSG00000133216	-4.107271121	NA	-4.93868	-4.270017969	NA
ENSG00000133246	NA	NA	NA	NA	NA
ENSG00000133256	-4.61776016	NA	-6.19806	-5.487970401	NA
ENSG00000133275	NA	NA	NA	NA	2.538208
ENSG00000133315	NA	NA	-2.99587	NA	NA
ENSG00000133321	-5.301183137	NA	-3.93839	NA	NA
ENSG00000133401	-2.916830249	NA	-3.53337	-3.047098908	NA
ENSG00000133424	NA	NA	-2.20042	NA	NA
ENSG00000133460	NA	NA	NA	NA	NA
ENSG00000133519	-7.324865478	NA	NA	NA	NA
ENSG00000133574	NA	NA	NA	NA	NA
ENSG00000133624	-2.16717698	NA	-3.82723	-3.410817198	-8.69127
ENSG00000133636	-3.919102647	NA	NA	NA	NA
ENSG00000133640	NA	NA	-2.77718	NA	NA
ENSG00000133657	NA	NA	2.27892	2.406116583	NA
ENSG00000133661	-5.566894131	NA	NA	NA	NA
ENSG00000133665	-3.524976913	NA	NA	-2.787037488	NA
ENSG00000133687	2.340210154	NA	NA	NA	NA
ENSG00000133703	NA	NA	NA	NA	2.9418232
ENSG00000133704	NA	NA	NA	NA	2.9692993
ENSG00000133710	-8.695760732	-8.677856879	-7.50961	-5.477291246	NA
ENSG00000133800	-7.593014021	NA	NA	NA	NA
ENSG00000133808	-4.559677296	NA	NA	-3.812810319	NA
ENSG00000133863	2.440628547	NA	NA	NA	NA
ENSG00000133937	-5.073170906	NA	NA	NA	NA
ENSG00000133943	NA	NA	NA	NA	-3.0043292
ENSG00000133958	NA	NA	NA	-4.621881055	NA
ENSG00000133962	-4.80725543	NA	-5.96419	NA	NA
ENSG00000134001	NA	NA	NA	NA	3.0506432
ENSG00000134020	NA	NA	-5.37593	-4.721272567	NA
ENSG00000134028	NA	NA	NA	NA	NA
ENSG00000134030	NA	NA	-2.0037	NA	NA
ENSG00000134042	-3.509127143	NA	NA	-2.725355081	NA
ENSG00000134057	NA	NA	2.06868	2.317634084	4.9851403
ENSG00000134109	NA	NA	2.03278	2.244579356	4.738989
ENSG00000134115	-4.203632068	NA	NA	-5.959774035	NA
ENSG00000134121	-2.227027243	NA	-3.08988	NA	NA
ENSG00000134138	-11.38307806	NA	NA	-10.9119702	-25.225296
ENSG00000134146	NA	NA	-3.58208	-3.337488164	-10.108437
ENSG00000134160	NA	NA	2.10165	NA	NA
ENSG00000134201	NA	NA	NA	-2.654011228	NA
ENSG00000134215	NA	NA	-3.54961	-2.759822473	NA
ENSG00000134242	-4.030313575	NA	NA	NA	NA
ENSG00000134243	NA	NA	NA	2.076816956	4.218755
ENSG00000134248	NA	NA	NA	NA	2.976125
ENSG00000134258	-2.994200999	NA	NA	NA	NA
ENSG00000134265	NA	NA	NA	NA	2.7598655
ENSG00000134285	-2.921415539	NA	NA	NA	NA
ENSG00000134308	NA	NA	NA	2.072658217	4.206611
ENSG00000134313	NA	NA	NA	NA	3.6441734
ENSG00000134317	-5.263561026	NA	-4.88038	-4.425908758	NA
ENSG00000134321	-3.3292919	NA	-3.37425	-2.843441085	NA
ENSG00000134323	-6.4192624	NA	NA	NA	NA
ENSG00000134324	NA	NA	NA	NA	2.2225902
ENSG00000134339	-5.629762177	NA	-5.27404	-4.916299274	NA
ENSG00000134343	-4.549672195	NA	NA	NA	NA
ENSG00000134376	-4.968669309	NA	NA	NA	NA
ENSG00000134444	NA	NA	NA	NA	2.8182058
ENSG00000134452	NA	NA	NA	NA	3.2062464
ENSG00000134470	-3.865800108	NA	-3.2767	-3.293865574	NA
ENSG00000134489	-3.061278602	NA	NA	-6.373918505	NA
ENSG00000134516	NA	NA	-3.0308	NA	NA
ENSG00000134532	NA	NA	-2.92829	NA	NA
ENSG00000134533	-7.098873866	NA	-8.34462	-7.417711276	NA
ENSG00000134539	-5.816021354	NA	-7.32113	-7.185584793	NA
ENSG00000134594	2.417691612	NA	3.62502	4.257828238	12.330726
ENSG00000134602	2.933838207	NA	3.53023	3.990245914	10.441148
ENSG00000134612	NA	NA	NA	-4.990499141	NA
ENSG00000134668	2.411455989	NA	3.22781	3.421720444	8.3287945
ENSG00000134690	NA	NA	NA	NA	3.597849
ENSG00000134709	-2.484077846	NA	NA	NA	NA
ENSG00000134755	NA	-13.37752549	NA	NA	NA
ENSG00000134757	-9.699795146	-9.712565722	NA	-6.917810914	NA
ENSG00000134760	-13.52938821	-13.09828671	NA	NA	NA
ENSG00000134762	-10.66972908	-10.67253098	NA	NA	NA
ENSG00000134765	-10.8410145	NA	NA	NA	NA
ENSG00000134779	NA	NA	2.00025	2.190980822	4.5661592
ENSG00000134802	NA	NA	NA	2.252191557	NA
ENSG00000134817	-6.686152532	NA	NA	NA	NA
ENSG00000134824	NA	NA	3.56504	4.10244705	NA
ENSG00000134825	NA	NA	NA	NA	NA
ENSG00000134827	-5.458064715	-5.448705304	-4.53437	NA	NA
ENSG00000134852	NA	NA	2.10199	2.326680666	5.001359
ENSG00000134853	-4.400351586	NA	NA	NA	NA
ENSG00000134864	NA	NA	-2.3208	NA	NA
ENSG00000134874	2.301769152	NA	2.72416	3.362309835	8.205963
ENSG00000134882	NA	NA	-2.44649	-2.168355153	-4.495106
ENSG00000134884	NA	NA	-2.28071	NA	NA
ENSG00000134905	NA	NA	NA	NA	3.1043634
ENSG00000134940	NA	NA	NA	-2.904586629	NA
ENSG00000134954	NA	NA	2.22341	2.439208201	5.42344
ENSG00000134962	-2.835281324	NA	NA	-4.934752341	NA
ENSG00000134970	NA	NA	2.25509	2.450694605	NA
ENSG00000134982	2.053534978	NA	2.63098	3.021712497	NA
ENSG00000134986	-6.124007946	-6.132782648	-5.41082	-4.807236899	-13.777916
ENSG00000134987	NA	NA	NA	2.120458391	4.323398
ENSG00000135002	NA	NA	NA	NA	3.472451
ENSG00000135018	NA	NA	2.13236	2.373654	5.1825204
ENSG00000135045	NA	NA	2.05037	2.228001265	4.504811
ENSG00000135046	-2.231652151	NA	NA	NA	NA
ENSG00000135048	2.626320228	NA	NA	NA	NA
ENSG00000135049	NA	NA	NA	NA	3.3258083
ENSG00000135063	-2.849464445	NA	-2.41701	-2.021183062	NA
ENSG00000135069	NA	NA	2.10803	NA	NA
ENSG00000135070	NA	NA	NA	NA	2.4112897
ENSG00000135077	NA	NA	-7.94008	-8.107299244	NA
ENSG00000135083	NA	NA	NA	NA	5.031774
ENSG00000135094	-3.244570786	NA	-8.78706	-7.191383212	NA
ENSG00000135097	-3.265866998	NA	NA	NA	NA
ENSG00000135108	NA	NA	NA	NA	2.7621446
ENSG00000135114	-2.245521527	NA	NA	NA	NA
ENSG00000135119	NA	NA	-2.17152	NA	NA
ENSG00000135127	-3.134630628	NA	-3.48615	-2.85521207	NA
ENSG00000135144	-5.400278631	NA	NA	-4.757323939	NA
ENSG00000135175	-3.66824302	NA	NA	NA	NA
ENSG00000135205	-3.892402832	NA	-4.58314	-4.357859992	NA
ENSG00000135218	2.094551071	NA	2.89642	4.320828641	19.597597
ENSG00000135314	-3.294722154	NA	NA	-2.484368554	NA
ENSG00000135316	NA	NA	NA	2.053353737	NA
ENSG00000135318	3.040763599	3.021425294	3.88156	4.248230494	17.914381
ENSG00000135333	-2.935040682	NA	NA	NA	NA
ENSG00000135334	NA	NA	NA	NA	2.777533
ENSG00000135338	NA	NA	2.32	2.448132134	2.0469065
ENSG00000135363	-2.418113437	NA	NA	NA	NA
ENSG00000135365	NA	NA	-2.19774	NA	-3.7653444
ENSG00000135373	-3.958226619	NA	NA	NA	NA
ENSG00000135387	NA	NA	NA	NA	3.4946349
ENSG00000135406	-5.857602162	NA	NA	NA	NA
ENSG00000135407	NA	NA	-2.39298	-2.156704251	NA
ENSG00000135424	-2.536449072	NA	-2.07532	NA	NA
ENSG00000135426	-8.035817325	NA	NA	NA	NA
ENSG00000135441	NA	NA	NA	NA	NA
ENSG00000135447	-3.50083448	NA	NA	-5.945274007	NA
ENSG00000135472	-3.824427324	NA	NA	-3.901606627	NA
ENSG00000135476	NA	NA	NA	NA	3.4591174
ENSG00000135480	-6.727515303	NA	-7.27666	-6.131734284	NA
ENSG00000135502	-2.626748668	NA	NA	-3.665052461	NA
ENSG00000135519	-3.568311842	NA	NA	-3.29733785	NA
ENSG00000135525	-2.12853508	NA	NA	NA	NA
ENSG00000135535	NA	NA	NA	NA	3.6977003
ENSG00000135540	2.320176318	NA	2.29482	2.676943286	6.3462634
ENSG00000135547	-5.158837221	NA	-4.33684	-3.925920737	NA
ENSG00000135604	NA	NA	2.63875	3.229068006	5.992383
ENSG00000135622	NA	NA	2.01103	2.336208865	4.857651
ENSG00000135625	2.414668351	NA	NA	3.698477978	NA
ENSG00000135636	-3.831280078	NA	-3.6397	-3.282794287	NA
ENSG00000135638	-4.705839131	NA	NA	NA	NA
ENSG00000135643	-3.447894623	NA	-5.86939	-4.135347573	NA
ENSG00000135678	NA	NA	-2.3994	NA	NA
ENSG00000135686	NA	NA	NA	NA	3.6591592
ENSG00000135720	NA	NA	NA	2.211168253	4.630501
ENSG00000135744	-8.714824339	NA	NA	NA	NA
ENSG00000135750	-8.879348763	NA	NA	-8.29460558	NA
ENSG00000135773	-2.206966392	NA	NA	-3.321879358	NA
ENSG00000135776	NA	NA	NA	2.240625726	4.3973722
ENSG00000135801	NA	NA	NA	NA	3.2003791
ENSG00000135837	NA	NA	NA	NA	3.5897098
ENSG00000135847	NA	NA	-3.71357	-3.479932029	NA
ENSG00000135870	NA	NA	NA	NA	3.0776045
ENSG00000135916	NA	NA	NA	2.077176647	NA
ENSG00000135917	-2.42395488	NA	-4.13315	-3.589086288	NA
ENSG00000135925	-6.138585316	NA	NA	NA	NA
ENSG00000135926	NA	NA	NA	NA	3.0016549
ENSG00000135931	2.007840913	NA	NA	2.211984482	4.6331205
ENSG00000135932	NA	NA	NA	NA	3.5433812
ENSG00000135956	NA	NA	NA	NA	2.655282
ENSG00000135960	-2.893321327	NA	NA	NA	NA
ENSG00000136002	-3.761938415	NA	-4.22284	NA	NA
ENSG00000136010	NA	NA	2.23902	2.734358583	5.3841214
ENSG00000136011	-3.381334624	NA	NA	NA	NA
ENSG00000136021	NA	NA	2.16838	2.384874264	5.2229843
ENSG00000136040	NA	NA	2.1919	2.643155115	6.2469635
ENSG00000136045	NA	NA	NA	NA	2.7709582
ENSG00000136059	-2.818456124	NA	-2.20293	NA	-3.8964233
ENSG00000136108	NA	NA	2.70183	2.962020107	7.89783
ENSG00000136143	NA	NA	NA	NA	3.0561326
ENSG00000136149	-2.109054394	NA	NA	NA	NA
ENSG00000136155	-4.682504237	NA	NA	-4.025409222	NA
ENSG00000136158	NA	NA	2.04743	2.240226962	4.724714
ENSG00000136159	NA	NA	NA	NA	2.522573
ENSG00000136193	NA	NA	2.36849	3.370805582	NA
ENSG00000136197	NA	NA	2.59486	NA	NA
ENSG00000136206	-3.03534496	NA	NA	NA	NA
ENSG00000136237	-2.237755379	NA	-2.51353	NA	NA
ENSG00000136238	NA	NA	NA	NA	2.3598423
ENSG00000136250	-5.258698181	NA	-6.61208	-6.092271263	-7.7491655
ENSG00000136267	-3.130419013	NA	NA	-5.658139007	NA
ENSG00000136275	-3.213298122	NA	NA	NA	NA
ENSG00000136286	NA	NA	NA	NA	NA
ENSG00000136295	NA	NA	2.70654	3.389342306	10.478368
ENSG00000136327	-7.365759092	NA	NA	NA	NA
ENSG00000136371	NA	NA	NA	NA	NA
ENSG00000136379	3.175318301	3.171662406	NA	NA	NA
ENSG00000136383	-3.815276529	NA	NA	NA	NA
ENSG00000136449	-7.531787624	NA	NA	-9.205435057	NA
ENSG00000136451	NA	NA	NA	2.098895005	4.2838116
ENSG00000136457	NA	NA	-4.99678	NA	NA
ENSG00000136478	NA	NA	NA	NA	3.3141983
ENSG00000136485	NA	NA	NA	NA	2.6371927
ENSG00000136527	NA	NA	NA	NA	2.0777652
ENSG00000136531	-3.149016012	NA	NA	NA	NA
ENSG00000136536	NA	NA	NA	NA	3.3788247
ENSG00000136542	-3.068031256	NA	NA	NA	NA
ENSG00000136573	-6.340596959	NA	NA	-5.538096951	NA
ENSG00000136574	NA	NA	NA	NA	NA
ENSG00000136630	-4.645064331	NA	-3.5874	-3.108802402	NA
ENSG00000136634	NA	NA	NA	-2.808158988	NA
ENSG00000136636	NA	NA	NA	NA	3.4634562
ENSG00000136653	-4.908551516	NA	-3.91189	-3.279004008	NA
ENSG00000136689	-8.800425622	-8.659660763	NA	-5.084768404	NA
ENSG00000136696	-4.790798543	NA	NA	-3.958833523	NA
ENSG00000136709	NA	NA	NA	NA	2.239837
ENSG00000136715	NA	NA	NA	NA	2.8752623
ENSG00000136731	NA	NA	NA	NA	2.261834
ENSG00000136738	NA	NA	NA	2.320320906	4.994432
ENSG00000136758	NA	NA	NA	NA	3.9224346
ENSG00000136770	NA	NA	-2.37759	-2.086261433	-4.246462
ENSG00000136824	NA	NA	2.51424	2.811161427	6.784101
ENSG00000136826	-2.394560069	NA	NA	NA	NA
ENSG00000136828	NA	NA	-2.01048	NA	NA
ENSG00000136842	NA	NA	-2.47578	NA	NA
ENSG00000136854	NA	NA	NA	2.33317694	5.0391393
ENSG00000136859	NA	NA	NA	2.607209554	6.0441723
ENSG00000136869	NA	NA	2.53302	2.946301656	NA
ENSG00000136872	-4.533841512	NA	NA	NA	NA
ENSG00000136875	NA	NA	NA	NA	2.6596642
ENSG00000136881	-7.851344123	NA	NA	-6.149342482	NA
ENSG00000136883	-3.794967077	NA	NA	-3.444051887	NA
ENSG00000136891	NA	NA	NA	NA	3.9363377
ENSG00000136895	NA	NA	-2.40727	NA	NA
ENSG00000136918	-2.694390216	NA	NA	NA	NA
ENSG00000136937	NA	NA	NA	NA	3.7356005
ENSG00000136940	NA	NA	NA	NA	2.510189
ENSG00000136943	NA	NA	2.0177	2.702409552	5.651405
ENSG00000136944	-9.236130544	NA	NA	NA	NA
ENSG00000136982	NA	NA	NA	2.20765377	4.493088
ENSG00000136999	NA	NA	2.80732	4.164092851	NA
ENSG00000137033	-2.149149681	NA	NA	NA	NA
ENSG00000137040	NA	NA	NA	2.143287853	4.1264176
ENSG00000137055	NA	NA	NA	NA	3.8736537
ENSG00000137077	NA	NA	NA	NA	NA
ENSG00000137100	NA	NA	NA	NA	3.0451884
ENSG00000137145	NA	NA	NA	NA	3.3932228
ENSG00000137177	NA	NA	-2.59567	-2.114463581	NA
ENSG00000137218	NA	NA	-2.91864	-2.645359841	-6.256517
ENSG00000137225	-2.014547303	NA	NA	-2.376690276	NA
ENSG00000137261	-4.760793338	NA	NA	NA	NA
ENSG00000137273	NA	NA	2.26518	NA	6.579112
ENSG00000137285	-2.817991177	NA	-2.5132	NA	NA
ENSG00000137309	NA	NA	NA	2.030773779	4.0862393
ENSG00000137310	NA	NA	NA	2.150038888	4.3988423
ENSG00000137331	NA	NA	2.68237	3.247372261	NA
ENSG00000137337	NA	NA	NA	NA	3.1826327
ENSG00000137338	NA	NA	NA	NA	2.5375748
ENSG00000137409	NA	NA	NA	NA	2.7153966
ENSG00000137414	NA	NA	NA	NA	2.9718595
ENSG00000137434	-2.00168285	NA	NA	NA	NA
ENSG00000137441	-4.722213259	NA	-3.99548	NA	NA
ENSG00000137449	NA	NA	NA	2.044845228	4.1262903
ENSG00000137462	-2.883880976	NA	NA	NA	NA
ENSG00000137474	-6.713931092	NA	-6.54093	-6.867643244	NA
ENSG00000137478	NA	NA	-3.12692	-2.673459168	-6.3795705
ENSG00000137491	-8.322497486	NA	-4.84912	-4.53496802	NA
ENSG00000137492	NA	NA	NA	2.072783284	4.2065716
ENSG00000137496	-2.065787136	NA	-4.8294	-4.040278305	-9.30803
ENSG00000137507	-4.434441829	NA	-4.03589	-3.533064655	NA
ENSG00000137558	-3.842552721	-3.885095632	-2.89727	NA	NA
ENSG00000137563	NA	NA	NA	2.07532984	NA
ENSG00000137571	2.177590386	NA	NA	NA	NA
ENSG00000137573	-7.047301469	-7.062732284	-6.78315	-5.96984479	-16.248203
ENSG00000137642	-9.433125511	-9.451327305	-8.35368	-8.218418792	-3.8950865
ENSG00000137648	-9.426689996	NA	NA	NA	NA
ENSG00000137673	-7.025188695	NA	NA	NA	NA
ENSG00000137674	-6.918740205	NA	NA	NA	NA
ENSG00000137691	-3.490997419	NA	-4.59843	-4.199409555	NA
ENSG00000137699	-13.04287752	-12.96610028	-14.2599	-10.70108031	NA
ENSG00000137700	NA	NA	NA	2.092379781	4.2645097
ENSG00000137709	-6.734096382	NA	NA	NA	NA
ENSG00000137713	NA	NA	NA	NA	3.4770582
ENSG00000137714	NA	NA	NA	2.149907831	4.437492
ENSG00000137727	-3.621680796	NA	NA	NA	NA
ENSG00000137731	-4.968776767	NA	NA	NA	NA
ENSG00000137747	-3.646642698	NA	-2.35158	NA	NA
ENSG00000137760	NA	NA	NA	NA	2.845743
ENSG00000137764	NA	NA	-3.16431	-2.869400887	-7.3076167
ENSG00000137801	-2.362595064	NA	NA	NA	NA
ENSG00000137804	NA	NA	2.0036	2.129152735	4.374604
ENSG00000137807	NA	NA	NA	NA	3.8311377
ENSG00000137809	-4.274973451	NA	NA	-3.600301947	NA
ENSG00000137812	2.507586058	NA	NA	NA	NA
ENSG00000137834	NA	NA	-3.76101	-3.123360695	-8.750169
ENSG00000137841	-3.91341885	NA	-3.05977	-2.573428738	NA
ENSG00000137843	NA	NA	-4.49837	NA	NA
ENSG00000137845	NA	NA	NA	NA	3.8298032
ENSG00000137857	-5.463285281	-5.392709054	-7.56518	-6.567231389	NA
ENSG00000137860	-4.101547677	NA	NA	-5.639992337	NA
ENSG00000137868	-6.913850329	NA	NA	-4.499521633	NA
ENSG00000137869	-4.667891861	NA	-5.025	-3.380904747	NA
ENSG00000137875	-4.548038188	NA	NA	NA	NA
ENSG00000137877	-4.786008022	NA	NA	NA	NA
ENSG00000137947	NA	NA	NA	NA	2.7249277
ENSG00000137959	-4.22046933	NA	-4.07747	NA	NA
